last_reported,num_bikes_available,station_id
1523061840,15,72
1523062264,18,79
1523060972,21,82
1523062354,17,83
1523060329,9,119
1523062039,15,120
1523062952,31,127
1523063311,7,128
1523062029,13,143
1523062908,12,144
1523062309,26,146
1523063217,30,150
1523063336,3,151
1523062678,0,152
1523061211,22,157
1523062338,28,161
1523063307,0,164
1523063172,1,167
1523062189,2,168
1523063319,1,173
1523062854,3,174
1523063204,1,195
1523063080,0,212
1523057428,14,216
1523062338,21,217
1523062517,0,228
1523062935,10,229
1523059595,3,232
1523063255,33,236
1523063429,22,237
1523062165,29,238
1523063428,1,239
1523060412,4,241
1523063232,10,242
1523062877,24,243
1523063188,18,244
1523062922,7,245
1523062137,18,247
1523059281,0,248
1523062999,3,249
1523063359,16,251
1523063235,23,252
1522845303,0,253
1523063394,23,254
1523063398,3,257
1523063347,13,258
1523058923,3,259
1523060406,0,260
1523063332,15,261
1523063130,16,262
1523060641,3,264
1523063326,32,265
1523062936,23,266
1523062897,2,267
1523062299,0,268
1523062931,8,270
1523063410,18,274
1523060337,12,275
1523063298,17,276
1523057801,11,278
1523062948,29,279
1523063196,17,280
1523063336,1,281
1523063006,11,282
1523063371,18,284
1523063293,5,285
1523063290,5,289
1523059569,14,291
1523063435,27,293
1523062379,15,295
1523063328,18,296
1523063172,14,297
1523062083,36,301
1523062886,23,302
1523061922,6,303
1523062571,2,304
1523062318,2,305
1523063077,4,306
1523063332,29,307
1523061620,14,308
1523063175,1,309
1523062793,17,310
1523063299,16,311
1523063267,29,312
1523060858,11,313
1523062446,1,314
1523062891,23,315
1523063418,5,316
1523062889,26,317
1523063163,4,319
1523063381,29,320
1523061135,6,321
1523062045,6,322
1523063028,7,323
1523061929,19,324
1523063443,24,325
1523063094,25,326
1523063398,2,327
1523063395,1,328
1523061251,1,330
1523062096,27,331
1523060633,24,332
1523063408,1,334
1523062919,20,335
1523063325,33,336
1523062137,1,337
1523061658,24,339
1523063025,10,340
1523060007,19,341
1523062184,29,342
1523060565,11,343
1523063127,17,344
1522930611,0,345
1523062360,26,346
1523062402,0,347
1523063379,19,349
1523063261,26,350
1523063077,5,351
1523062409,8,353
1523063255,19,354
1523063256,32,355
1523063329,21,356
1523063290,17,357
1523062149,36,358
1523062126,0,359
1523061287,0,360
1523063009,32,361
1523062635,1,362
1523062300,27,363
1523060581,12,364
1523061963,23,365
1523062117,19,366
1523063273,38,368
1523063206,31,369
1523062635,13,372
1523057198,7,373
1523062532,0,376
1523063435,2,377
1523062586,30,379
1523063149,38,380
1523063253,13,382
1523063391,38,383
0,0,385
1523061763,0,386
1523063427,19,387
1523062697,1,388
1523063068,7,389
1523062572,9,390
1523061620,0,391
1523060507,0,392
1523062288,30,393
1523063394,30,394
1523062947,14,396
1523062400,11,397
1523059359,31,398
1523061278,9,399
1523063195,14,400
1523063258,40,401
1523063433,1,402
1523063443,28,403
1523063368,6,405
1523063390,22,406
1523057936,0,407
1523062973,22,408
1523062022,7,409
1523063189,34,410
1523063426,22,411
1523062102,6,412
1523062878,7,414
1523062753,9,415
1523061311,2,416
1523062845,3,417
1523062074,3,418
1523063105,2,419
1523061753,4,420
1523060407,13,421
1523061970,12,422
1523062831,5,423
1523063013,12,426
1523060793,22,427
1523063312,16,432
1523063071,37,433
1523063443,5,435
1523063432,6,436
1523062996,6,437
1523062315,41,438
1523063203,35,439
1523063193,1,440
1523063020,1,441
1523063312,0,442
1523062501,4,443
1523063392,54,445
1523063442,0,446
1523063321,3,447
1523063193,16,448
1520517635,0,449
1523062853,9,450
1523063151,31,453
1523061439,0,454
1523059851,0,455
1523060833,0,456
1523062243,4,457
1523060660,4,458
1523063393,23,459
1523062784,11,460
1523063377,11,461
1523063447,15,462
1523062197,1,465
1523063239,0,466
1523062928,25,467
1523063307,4,468
1523062515,1,469
1523062380,5,470
1523061652,31,471
1523061712,0,472
1523061152,37,473
1523063207,0,474
1523063383,4,476
1523063251,24,477
1523063415,30,478
1523063294,2,479
1523063435,10,480
1523060129,10,481
1523063398,35,482
1523063250,27,483
1523062283,0,484
1523061863,0,485
1523062889,1,486
1523063391,35,487
1523063119,51,490
1523061259,0,491
1523063026,15,492
1523063421,6,494
1523062898,9,495
1523063408,3,496
1523063400,30,497
1523062722,0,498
1523063374,6,499
1523063199,0,500
1523062943,25,501
1523061603,30,502
1521576674,0,503
1523063339,38,504
1523063028,3,505
1523063132,10,507
1523063282,10,508
1523063241,33,509
1523062726,1,513
1523061803,48,514
1523062993,28,515
1523061146,0,516
1523062635,1,517
1523062374,0,518
1523062974,0,519
1523057216,0,520
1523063321,1,522
1523063181,22,523
1523062328,0,524
1523062284,25,525
1523063431,0,526
1523063116,1,527
1523062997,0,528
1523063262,26,529
1523062443,21,530
1523063328,21,531
1523060775,31,532
1523060503,0,533
1523061704,0,534
1523057371,0,536
1523063194,10,537
1523063189,21,539
1523063066,1,540
1523063399,16,545
1523061316,1,546
1523061896,2,2000
1523062290,2,2001
1523063040,26,2002
1523063191,23,2003
1523049888,3,2005
1523061437,2,2006
1523062575,18,2008
1523062900,30,2009
1523062573,1,2010
1523063107,1,2012
1523062819,3,2021
1523061936,1,2022
1523063196,3,2023
1523063356,9,3002
1523063089,42,3016
1523061428,5,3041
1523062289,14,3042
1522804283,0,3043
1523054956,6,3044
1523062976,7,3046
1523059510,4,3047
1523058714,4,3048
1523061335,13,3049
1523062469,8,3050
1523062722,5,3052
1523056564,9,3053
1523058541,6,3054
1523062998,6,3055
1523062418,4,3056
1523059919,11,3057
1523059833,6,3058
1523061362,6,3059
1523055449,5,3060
1523060297,3,3061
1523059760,5,3062
1523059840,18,3063
1523063229,3,3064
1523057201,25,3065
1523056879,5,3066
1523053907,16,3067
1523055750,14,3068
1523059432,23,3069
1523058553,9,3070
1523059380,18,3071
1523063425,23,3072
1523059471,7,3073
1523062639,23,3074
1523061011,4,3075
1523062540,1,3076
1523062842,17,3077
1523061322,6,3078
1523063153,5,3080
1523063052,4,3081
1523063187,15,3082
1523056966,0,3083
1523063428,17,3085
1523063433,13,3086
1523062571,28,3087
1523058915,7,3088
1523063094,2,3090
1523055346,10,3091
1523063002,4,3092
1523062870,10,3093
1523063037,10,3094
1523062639,5,3095
1523062128,13,3096
1523063004,13,3100
1523063017,6,3101
1523061833,16,3102
1523061845,13,3103
1523062025,8,3105
1523060124,5,3106
1523062144,36,3107
1523063081,18,3108
1523062497,30,3109
1523062677,13,3110
1523062390,10,3112
1523061627,3,3113
1523062403,27,3115
1523063258,18,3116
1523062532,11,3117
1523063143,5,3118
1523063131,4,3119
1523062189,3,3120
1523055097,3,3121
1523063006,24,3122
1523058226,1,3123
1523062919,14,3124
1523061744,6,3125
1523063271,11,3126
1523050192,10,3127
1523059684,3,3128
1523062928,2,3129
1523060005,12,3130
1523059904,0,3131
1523060876,0,3132
1523059321,0,3134
1523062943,15,3135
1523054810,0,3136
1523062716,1,3137
1523059478,0,3139
1523063097,53,3140
1523062608,1,3141
1523062845,0,3142
1523063363,7,3143
1523061042,4,3144
1523063176,9,3145
1523062181,11,3146
1523063330,15,3147
1523061654,29,3148
1523061043,18,3150
1523062808,18,3151
1523059802,0,3152
1523062289,0,3155
1523062755,1,3156
1523054371,8,3157
1523062900,4,3158
1523063272,10,3159
1523063443,34,3160
1523062920,13,3161
1523063300,15,3162
1523061871,28,3163
1523063247,26,3164
1523063246,50,3165
1523063344,34,3166
1523061397,38,3167
1523063404,26,3168
1523062094,36,3169
1523063377,16,3170
1523062397,17,3171
1523063420,25,3172
1523062977,29,3173
1523060122,30,3175
1523063045,27,3176
1523063085,55,3177
1523061084,10,3178
1523053645,4,3179
1523059245,25,3180
1523058291,8,3183
1523058854,1,3184
1523056788,2,3185
1523063341,14,3186
1523062518,15,3187
1523037858,3,3188
1523037983,10,3189
1523050624,8,3190
1523057755,9,3191
1523057366,14,3192
1523063281,3,3193
1523062939,12,3194
1523063347,1,3195
1523051005,4,3196
1523057306,2,3198
1523063368,5,3199
1523047241,3,3200
1523042744,9,3201
1523059235,1,3202
1523062598,13,3203
1523060824,5,3205
1523061610,0,3206
1523061971,6,3207
1523061844,10,3209
1523062844,11,3210
1523062349,9,3211
1523056942,3,3212
1523062175,14,3213
1523063074,10,3214
1523001827,4,3216
1523001970,2,3217
1523058052,3,3220
1523048766,0,3221
1523062214,0,3223
1523063378,10,3224
1523060884,10,3225
1523063318,29,3226
1523057225,0,3231
1523062220,10,3232
1523061277,0,3233
1523054139,0,3235
1523061774,16,3236
1523063406,7,3241
1523062894,6,3242
1523063300,1,3243
1523063070,8,3244
1523058332,9,3249
1523063357,14,3255
1523063273,11,3256
1523062943,4,3258
1523063355,4,3259
1523063036,24,3260
1523063074,49,3263
1523058618,14,3267
1523054449,9,3268
1523061380,7,3269
1523059232,9,3270
1523002045,5,3271
1523062010,7,3272
1523063442,3,3273
1523001932,2,3274
1523061139,3,3275
1523062843,5,3276
1523015165,5,3277
1523062172,8,3278
1523061945,13,3279
1523058402,6,3280
1523063029,8,3281
1523062193,20,3282
1523063342,35,3283
1523060917,0,3284
1523062881,31,3285
1523062444,27,3286
1523062626,38,3288
1523061416,14,3289
1523063017,26,3290
1523059062,6,3292
1523059236,2,3293
1523062328,2,3294
1523062763,32,3295
1523061020,23,3296
1523060853,6,3297
1523061847,20,3298
1523053087,1,3299
1523062726,8,3300
1523063111,29,3301
1523062100,0,3302
1523061789,25,3303
1523063055,3,3304
1523063209,39,3305
1523061243,12,3306
1523061917,9,3307
1523061387,25,3308
1523059850,7,3309
1523063077,21,3310
1523054845,21,3311
1523062346,37,3312
1523062084,8,3313
1523063115,15,3314
1523059856,23,3315
1523062672,23,3316
1523062689,9,3317
1523062943,37,3318
1523060791,10,3319
1523059568,34,3320
