last_reported,num_bikes_available,station_id
1523062952,31,127
1523063217,30,150
1523062338,28,161
1523063255,33,236
1523062165,29,238
1523063326,32,265
1523062948,29,279
1523062083,36,301
1523063332,29,307
1523063299,16,311
1523063381,29,320
1523063325,33,336
1523063256,32,355
1523062149,36,358
1523063009,32,361
1523063273,38,368
1523063206,31,369
1523062586,30,379
1523063149,38,380
1523063391,38,383
1523059359,31,398
1523063258,40,401
1523063443,28,403
1523063189,34,410
1523063071,37,433
1523062315,41,438
1523063203,35,439
1523063392,54,445
1523063151,31,453
1523061652,31,471
1523061152,37,473
1523063398,35,482
1523063391,35,487
1523063119,51,490
1523063400,30,497
1523063339,38,504
1523063241,33,509
1523061803,48,514
1523062993,28,515
1523063262,26,529
1523063328,21,531
1523060775,31,532
1523063191,23,2003
1523062900,30,2009
1523063089,42,3016
1523062144,36,3107
1523062497,30,3109
1523063097,53,3140
1523063443,34,3160
1523063246,50,3165
1523063344,34,3166
1523061397,38,3167
1523062094,36,3169
1523062977,29,3173
1523063085,55,3177
1523063318,29,3226
1523063074,49,3263
1523063342,35,3283
1523062881,31,3285
1523062626,38,3288
1523062763,32,3295
1523063111,29,3301
1523063209,39,3305
1523062346,37,3312
1523062943,37,3318
1523059568,34,3320
1523062579,36,3323
1523062919,32,3409
1523063308,36,3534
1523058818,29,3553
1523060394,32,3632
1523062063,0,3641
1523064599,30,127
1523064409,30,150
1523064449,28,161
1523064483,17,236
1523064349,31,238
1523063712,34,265
1523064478,32,279
1523064538,36,301
1523063519,29,307
1523064666,18,311
1523064356,30,320
1523064599,32,336
1523064591,32,355
1523064630,36,358
1523064436,37,361
1523064646,34,368
1523064474,32,369
1523064080,31,379
1523064210,39,380
1523064038,39,383
1523059359,31,398
1523064524,40,401
1523064140,29,403
1523063902,30,410
1523064061,34,433
1523064688,26,438
1523063969,35,439
1523064318,47,445
1523063920,29,453
1523064438,29,471
1523064396,37,473
1523064262,34,482
1523064057,34,487
1523064687,49,490
1523064699,37,497
1523064404,37,504
1523064541,29,509
1523063995,49,514
1523064265,28,515
1523063262,26,529
1523064460,25,531
1523063874,31,532
1523064419,23,2003
1523064367,31,2009
1523064404,39,3016
1523064505,36,3107
1523062497,30,3109
1523064336,50,3140
1523063758,33,3160
1523064251,45,3165
1523064548,35,3166
1523064250,38,3167
1523062094,36,3169
1523064216,29,3173
1523063544,54,3177
1523063740,29,3226
1523064650,46,3263
1523063583,34,3283
1523063927,30,3285
1523063791,37,3288
1523062763,32,3295
1523064364,30,3301
1523064527,37,3305
1523062346,37,3312
1523063791,36,3318
1523059568,34,3320
1523062579,36,3323
1523064670,31,3409
1523063619,35,3534
1523058818,29,3553
1523064637,22,3632
1523064649,0,3641
1523064771,31,127
1523064702,31,150
1523064729,30,161
1523064483,17,236
1523064349,31,238
1523064752,33,265
1523064478,32,279
1523064538,36,301
1523063519,29,307
1523064666,18,311
1523064356,30,320
1523064599,32,336
1523064591,32,355
1523064630,36,358
1523064436,37,361
1523064728,33,368
1523064474,32,369
1523064080,31,379
1523064723,38,380
1523064038,39,383
1523059359,31,398
1523064524,40,401
1523064140,29,403
1523063902,30,410
1523064061,34,433
1523064688,26,438
1523063969,35,439
1523064318,47,445
1523063920,29,453
1523064438,29,471
1523064396,37,473
